Comment,Designator,Footprint,LCSC
Conn_01x12_Pin,J2,fpc-0.7mm-12pin,
MountingHole,H2,Hole_M2-TH,
MountingHole,H1,Hole_M2-TH,
1u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10R,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
vik-module-connector,J1,vik-module-connector-horizontal,
100n,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
vik-module-connector,J3,vik-module-connector-vertical,
Backlight,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
S8050,Q1,SOT-23,
1k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
100k,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
